date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201203,AK,33291,,1007214,,totalTestsViral,1040505,157,783,,,24,,7165,A,12/3/2020 03:59,2020-12-03T03:59:00Z,12/02 22:59,130,783,2020-12-03T03:59:00Z,1040505,40607,998843,,130,,,,,,,,,,,,,,02,760,15102,1040505,15862,1040505,8,15,2681286b4959bcec2a503789d53119c645f4b0c6,0,0,0,0,0,
20201203,AL,260359,44421,1400010,,totalTestsPeopleViral,1615948,1827,26062,,2259,,1302,168387,A,12/3/2020 11:00,2020-12-03T11:00:00Z,12/03 06:00,3776,26062,2020-12-03T11:00:00Z,,,,215938,3375,401,,1615948,,,,73588,,,,,,,01,3531,9659,1660369,12425,1660369,65,241,d333019ec43ddf9c5c4ec262bc5ed78ee214f19b,0,0,0,0,0,
20201203,AR,164310,21588,1576679,,totalTestsViral,1719401,1072,9206,375,,190,1025,144624,A+,12/3/2020 00:00,2020-12-03T00:00:00Z,12/02 19:00,2555,9206,2020-12-03T00:00:00Z,1719401,,1576679,142722,2343,212,,,,,,,,,149069,26171,21856,3300,05,2789,14118,1740989,16135,1740989,33,96,ab38de895a2817d41ff7d8bb65d18adf87e107c4,0,0,0,0,0,
20201203,AS,0,,1988,,totalTestsViral,1988,,,,,,,,D,11/17/2020 00:00,2020-11-17T00:00:00Z,11/16 19:00,0,,2020-11-17T00:00:00Z,1988,,,0,,,,,,,,,,,,,,,60,0,0,1988,0,1988,0,0,129358d9382d467bce74490f9082a486b166ac3e,0,0,0,0,0,
20201203,AZ,346421,11173,1969836,,totalTestsPeopleViral,2305084,2743,27456,642,,386,,54342,A+,12/3/2020 00:00,2020-12-03T00:00:00Z,12/02 19:00,6821,27456,2020-12-03T00:00:00Z,,,,335248,6310,511,,2305084,367830,,,,,,,,,,04,5442,11949,2316257,16880,2316257,82,1144,87c686686609f185e7c0610120d39a64a7fff437,0,0,0,0,0,
20201203,CA,1264539,,23210103,,totalTestsViral,24474642,9702,,2147,,,,,B,12/3/2020 02:59,2020-12-03T02:59:00Z,12/02 21:59,19437,,2020-12-03T02:59:00Z,24474642,,,1264539,,,,,,,,,,,,,,,06,18591,156925,24474642,175516,24474642,113,0,960e056249878f14b2efda03317df7c3bab66d06,0,0,0,0,0,
20201203,CO,247209,10688,1560856,,totalTestEncountersViral,3343095,1956,14579,,,,,13233,A,12/3/2020 01:59,2020-12-03T01:59:00Z,12/02 20:59,2716,14579,2020-12-03T01:59:00Z,,,,236521,,,3343095,1797377,210946,17594,191093,,,,,,,,08,6037,12178,1808065,54195,1808065,8,216,e0568e41ac5ab9b34cc7f810c961f96ccb344d2d,0,0,0,0,0,
20201203,CT,126177,7986,3267936,,posNeg,3394113,1191,12257,,,,,9800,C,12/2/2020 20:30,2020-12-02T20:30:00Z,12/02 15:30,5111,12257,2020-12-02T20:30:00Z,3386127,,,118191,4112,999,,,,,,,,,,,49816,,09,4751,61922,3394113,66673,3394113,20,0,06c80f9a9e19dd2ad503c482a73b977a1fe9d9fd,0,0,0,0,0,
20201203,DC,22164,,687827,,totalTestEncountersViral,709991,185,,49,,17,,16268,A+,12/2/2020 00:00,2020-12-02T00:00:00Z,12/01 19:00,692,,2020-12-02T00:00:00Z,,,,,,,709991,311349,,,,,,,,,,,11,322,8184,709991,8506,709991,2,0,fe4c3d50f36a7413c91a88b59d205b26f478e626,0,0,0,0,0,
20201203,DE,37456,1405,394304,,totalTestEncountersViral,756629,277,,33,,,,18066,A+,12/2/2020 18:00,2020-12-02T18:00:00Z,12/02 13:00,779,,2020-12-02T18:00:00Z,,38106,,36051,685,94,756629,431760,,,,,,,,,,,10,758,2469,431760,8590,431760,0,0,4a60be6872455329fdbde1885df4f8ced86ade49,0,0,0,0,0,
20201203,FL,1012456,94138,6376281,5771,totalTestEncountersViral,12735220,4286,56527,,,,,,A,12/2/2020 23:59,2020-12-02T23:59:00Z,12/02 18:59,19112,56527,2020-12-02T23:59:00Z,11342534,1312789,9976965,918318,19112,,12735220,7388737,650372,71851,578113,630838,69600,560932,,,,,12,10656,39894,7394508,119339,7388737,100,258,09cd6c4a8eb73070e8c94d221507f933a74025e6,0,0,0,0,0,
20201203,GA,433353,,3963312,,totalTestsViral,4396665,2691,35571,,6599,,,,A+,12/3/2020 14:50,2020-12-03T14:50:00Z,12/03 09:50,9648,35571,2020-12-03T14:50:00Z,4396665,406225,,433353,8879,769,,,367023,36562,,,,,,54625,,,13,4373,29328,4396665,33701,4396665,81,245,d65b0ab684471f7543f97b5f6cae9834c642cb6f,0,0,0,0,0,
20201203,GU,6942,140,79016,,posNeg,85958,39,,9,,7,,6030,B,12/3/2020 04:00,2020-12-03T04:00:00Z,12/02 23:00,112,,2020-12-03T04:00:00Z,85818,,,6802,,,,,227,12,,,,,,,2308,127,66,22,450,85958,472,85958,0,0,b3201b613ffc8d169eebe3ab53fae3457e9b2edc,0,0,0,0,0,
